Fecha,kilosnetos,Valortotal,Precio Unitario FOB (USD) Peso Neto,Desvest
2021-07-14,6000.0,24480.0,4.08,0.0
2021-07-15,120000.0,516000.0,4.3,0.0
2021-07-16,120000.0,516000.0,4.3,0.0
2021-07-19,6000.0,20820.0,3.47,0.0
2021-07-20,6925.0,35420.024999999994,5.67131973466003,0.8417277167846275
2021-07-21,10000.0,41662.454999999994,4.233836388888889,0.11948493969939833
2021-07-22,37856.25,103832.225,4.235518854755113,3.055408479096189
2021-07-23,37856.25,103832.225,4.235518854755113,3.055408479096189
2021-07-26,37856.25,103832.225,4.235518854755113,3.055408479096189
2021-07-27,37856.25,103832.225,4.235518854755113,3.055408479096189
2021-07-28,4266.0,16154.466666666667,3.94,0.5505451843400322
2021-07-29,6325.0,35687.1825,5.818525648316649,1.7435017753690079
2021-07-30,47.5,247.0,5.2,0.0
2021-08-02,47.5,247.0,5.2,0.0
2021-08-03,720.0,4040.72,5.61211111111111,0.0
2021-08-04,720.0,4040.72,5.61211111111111,0.0
2021-08-05,9976.285714285714,33901.771428571425,4.3731657897514955,1.336073157514526
2021-08-06,208.0,512.16,2.46230769230769,0.0
2021-08-09,208.0,512.16,2.46230769230769,0.0
2021-08-10,3691.74,60649.305,10.137376443380202,9.018972258586974
2021-08-11,10211.5,35586.8425,4.796788541982847,2.169767741643085
2021-08-12,7585.12,38194.4675,6.703861672932323,3.310888563804271
2021-08-13,381.24,8283.6,21.728045325779,0.0
2021-08-16,1485.0,6177.6,4.16,0.0
2021-08-17,1485.0,6177.6,4.16,0.0
2021-08-18,1485.0,6177.6,4.16,0.0
2021-08-19,1485.0,6177.6,4.16,0.0
2021-08-20,25127.0,67868.0,2.70099892545867,0.0
2021-08-23,5515.0,23968.74,4.129288551943733,0.5737527090109305
2021-08-24,526.936,1538.152,6.1769890311986835,4.9425169875798005
2021-08-25,5197.82,17689.54625,5.0422090485593225,1.8378056665094933
2021-08-26,2240.0,23780.0,10.6160714285714,0.0
2021-08-27,7020.0,25833.6,3.68,0.0
2021-08-30,7020.0,25833.6,3.68,0.0
2021-08-31,8300.0,37263.979999999996,5.57103126684636,1.6701824052662304
2021-09-01,13664.0,41784.736,4.201162042508546,1.3860040644605947
2021-09-02,2500.0,12575.0,5.03,0.0
2021-09-03,2500.0,12575.0,5.03,0.0
2021-09-06,2500.0,12575.0,5.03,0.0
2021-09-07,616.0,2654.5,4.556293103448275,0.5604430815714743
2021-09-08,616.0,2654.5,4.556293103448275,0.5604430815714743
2021-09-09,616.0,2654.5,4.556293103448275,0.5604430815714743
2021-09-10,21627.333333333332,50729.333333333336,3.167513770482626,2.946102299445868
2021-09-13,21627.333333333332,50729.333333333336,3.167513770482626,2.946102299445868
2021-09-14,645.84,9290.246666666666,10.452502894089866,6.837371502011432
2021-09-15,645.84,9290.246666666666,10.452502894089866,6.837371502011432
2021-09-16,12320.0,52968.16,4.29936363636364,0.0
2021-09-17,12320.0,52968.16,4.29936363636364,0.0
2021-09-20,12320.0,52968.16,4.29936363636364,0.0
2021-09-21,10598.25,36426.26,4.01316429765056,0.9178003177725927
2021-09-22,10598.25,36426.26,4.01316429765056,0.9178003177725927
2021-09-23,10598.25,36426.26,4.01316429765056,0.9178003177725927
2021-09-24,964.74,6848.639999999999,7.273601843803441,1.2471887697402622
2021-09-27,60000.0,261000.0,4.35,0.0
2021-09-28,12500.0,52500.0,4.2,0.0
2021-09-29,12994.5,38118.0,4.683733242626755,2.6817261661544944
2021-09-30,20000.0,134282.72,6.714136,0.0
2021-10-01,12950.0,56034.045,4.29039281065089,0.16951161244664673
2021-10-04,10763.37,48552.26,4.478845403933617,0.4353355445653417
2021-10-05,50158.0,142445.0,2.8400274575003,0.24028493931534692
2021-10-06,8.0,68.0,8.5,0.0
2021-10-07,4557.0,30987.6,6.8,0.0
2021-10-08,4557.0,30987.6,6.8,0.0
2021-10-11,7130.2,24506.574,5.574824946234842,2.8830037670796074
2021-10-12,7130.2,24506.574,5.574824946234842,2.8830037670796074
2021-10-13,866.23,8066.0,8.06939897686419,3.1400382971364045
2021-10-14,866.23,8066.0,8.06939897686419,3.1400382971364045
2021-10-15,5954.525,23342.6075,3.8921727301063447,0.4133614669679966
2021-10-18,5954.525,23342.6075,3.8921727301063447,0.4133614669679966
2021-10-19,5954.525,23342.6075,3.8921727301063447,0.4133614669679966
2021-10-20,1975.0,8887.5,4.5,0.0
2021-10-21,5820.0,25465.33,5.195891292238303,1.014393165754404
2021-10-22,1704.0,16525.8,9.69823943661972,0.0
2021-10-25,70000.0,308000.0,4.4,0.0
2021-10-26,4000.0,16965.87,4.2414675,0.0
2021-10-27,4000.0,16965.87,4.2414675,0.0
2021-10-28,4000.0,16965.87,4.2414675,0.0
2021-10-29,4635.958333333333,20336.663333333334,7.889566872812096,4.504060479998669
2021-11-01,4635.958333333333,20336.663333333334,7.889566872812096,4.504060479998669
2021-11-02,4635.958333333333,20336.663333333334,7.889566872812096,4.504060479998669
2021-11-03,2054.7925,13765.43,7.353520081942158,1.3258977187750156
2021-11-04,20904.5,84257.715,4.300146175554286,1.8862956671141888
2021-11-05,12150.0,64881.0,5.34,0.0
2021-11-08,4287.033333333334,21154.656666666666,6.78552677139533,3.8666941959429195
2021-11-09,4287.033333333334,21154.656666666666,6.78552677139533,3.8666941959429195
2021-11-10,1525.5,14173.03,6.63680680868839,4.729911987015815
2021-11-11,1334.4,11896.32,8.91510791366906,0.0
2021-11-12,25174.0,77501.5,3.0787855017338748,0.18756473810617477
2021-11-15,25174.0,77501.5,3.0787855017338748,0.18756473810617477
